fitness_level,fitness_goals,name,target_muscle,difficulty,equipment,gif,time,reps,circuits,circuits_rest,exercises_rest,weight
beginner,weightloss,Берпи без прыжка,все тело,Средний,Нет,https://media1.tenor.com/m/HVa3Wh0CD8YAAAAd/funny-burpees.gif,30,,2,300,30,
beginner,weightloss,Jumping Jacks,все тело,Начальный,Нет,https://media1.tenor.com/m/9YRh0wV0VosAAAAd/exercise-workout.gif,45,,2,300,30,
beginner,weightloss,Альпинист,все тело,Средний,Нет,https://media1.tenor.com/m/BZcd0o7ssi4AAAAC/гимнастика-разминка.gif,20,,2,300,30,
beginner,weightloss,Выпады вперед,Ноги,Начальный,Нет,https://media1.tenor.com/m/PF7Q7Qu1wJEAAAAC/lunges.gif,,10 на каждую,2,300,30,
beginner,weightloss,Скручивания с поднятыми ногами,Пресс,Продвинутый,Нет,https://avatars.dzeninfra.ru/get-zen_doc/3956291/pub_5f89a8445282a978278e68fd_5f89a8bd4ab7c3765a893d8f/orig,,12,2,300,30,
beginner,weightloss,Ягодичный мостик,"задняя поверхность бедра, ягодицы",Начальный,Нет,https://media1.tenor.com/m/3aUtiaBuDSgAAAAC/pilates-is-essential-for-lower-back-pain-relief.gif,,12,2,300,30,
beginner,weightloss,Ножницы,Пресс,Средний,Нет,https://avatars.mds.yandex.net/get-pdb/1004345/1f718112-ebdf-430e-b54e-999e8dbf948f/orig,15,,2,300,30,
beginner,weightloss,Планка,Пресс,Средний,Нет,https://media1.tenor.com/m/Ww5Ytjlx4QwAAAAC/prancha-treino-mestre.gif,30,,2,300,30,
beginner,weightloss,Лодочка,Спина,Начальный,Нет,https://media1.tenor.com/m/BpWq8HxUxeAAAAAC/lumbaresms.gif,,10,2,300,30,
beginner,weightloss,Прыжки с приседом,Ноги,Средний,Нет,https://media1.tenor.com/m/67z7_qwcWTQAAAAd/jumps-legs-work-out.gif,20,,2,300,30,
beginner,weightloss,Бег с высоким подниманием бедра на месте,все тело,Начальный,Нет,https://media1.tenor.com/m/i4lmd-dNA5sAAAAC/knees.gif,12,,2,300,30,
beginner,weightloss,Прыжки в сторону,все тело,Средний,Нет,https://i.pinimg.com/originals/34/f3/10/34f31056b0548173f8f97fbdbf418e86.gif,20,,2,300,30,
intermediate,weightloss,Берпи с прыжком,все тело,Средний,Нет,https://media1.tenor.com/m/NDqoNHRDhX4AAAAd/burpees-legs-day.gif,30,,3,180,20,
intermediate,weightloss,Jumping Jacks,все тело,Начальный,Нет,https://media1.tenor.com/m/9YRh0wV0VosAAAAd/exercise-workout.gif,60,,3,180,20,
intermediate,weightloss,Альпинист,все тело,Средний,Нет,https://media1.tenor.com/m/BZcd0o7ssi4AAAAC/гимнастика-разминка.gif,25,,3,180,20,
intermediate,weightloss,Выпады вперед,Ноги,Начальный,Нет,https://media1.tenor.com/m/PF7Q7Qu1wJEAAAAC/lunges.gif,,12 на каждую,3,180,20,
intermediate,weightloss,Скручивания с поднятыми ногами,Пресс,Продвинутый,Нет,https://avatars.dzeninfra.ru/get-zen_doc/3956291/pub_5f89a8445282a978278e68fd_5f89a8bd4ab7c3765a893d8f/orig,,15,3,180,20,
intermediate,weightloss,Ягодичный мостик,"задняя поверхность бедра, ягодицы",Начальный,Нет,https://media1.tenor.com/m/3aUtiaBuDSgAAAAC/pilates-is-essential-for-lower-back-pain-relief.gif,,15,3,180,20,
intermediate,weightloss,Ножницы,Пресс,Средний,Нет,https://avatars.mds.yandex.net/get-pdb/1004345/1f718112-ebdf-430e-b54e-999e8dbf948f/orig,20,,3,180,20,
intermediate,weightloss,Планка,Пресс,Средний,Нет,https://media1.tenor.com/m/Ww5Ytjlx4QwAAAAC/prancha-treino-mestre.gif,45,,3,180,20,
intermediate,weightloss,Лодочка,Спина,Начальный,Нет,https://media1.tenor.com/m/BpWq8HxUxeAAAAAC/lumbaresms.gif,,12,3,180,20,
intermediate,weightloss,Прыжки с приседом,Ноги,Средний,Нет,https://media1.tenor.com/m/67z7_qwcWTQAAAAd/jumps-legs-work-out.gif,25,,3,180,20,
